Date	SPX Index	RACE IM Equity	RACE US Equity	F US Equity	AAPL US Equity	NOKIA FH Equity	EURUSD Curncy
41432	1643.38	#N/A N/A	#N/A N/A	15.73	15.779	2.67	1.3218
41435	1642.81	#N/A N/A	#N/A N/A	15.71	15.6746	2.704	1.3257
41436	1626.13	#N/A N/A	#N/A N/A	15.51	15.6286	2.634	1.3313
41437	1612.52	#N/A N/A	#N/A N/A	15.37	15.4354	2.61	1.3337
41438	1636.36	#N/A N/A	#N/A N/A	15.58	15.5702	2.63	1.3375
41439	1626.73	#N/A N/A	#N/A N/A	15.37	15.3589	2.754	1.3347
41442	1639.04	#N/A N/A	#N/A N/A	15.55	15.4286	2.796	1.3367
41443	1651.81	#N/A N/A	#N/A N/A	15.65	15.4204	2.76	1.3392
41444	1628.93	#N/A N/A	#N/A N/A	15.32	15.1071	2.854	1.3295
41445	1588.19	#N/A N/A	#N/A N/A	14.82	14.8871	3	1.322
41446	1592.43	#N/A N/A	#N/A N/A	15	14.7679	3	1.3122
41449	1573.09	#N/A N/A	#N/A N/A	14.67	14.3764	2.88	1.312
41450	1588.03	#N/A N/A	#N/A N/A	14.97	14.3796	2.892	1.3077
41451	1603.26	#N/A N/A	#N/A N/A	15.29	14.2168	2.934	1.3012
41452	1613.2	#N/A N/A	#N/A N/A	15.65	14.0636	2.958	1.3038
41453	1606.28	#N/A N/A	#N/A N/A	15.47	14.1618	2.846	1.301
41456	1614.96	#N/A N/A	#N/A N/A	15.74	14.615	2.95	1.3064
41457	1614.08	#N/A N/A	#N/A N/A	16.18	14.9461	2.982	1.2979
41458	1615.41	#N/A N/A	#N/A N/A	16.43	15.0286	3.028	1.3009
41460	1631.89	#N/A N/A	#N/A N/A	16.7	14.9079	3.106	1.2829
41463	1640.46	#N/A N/A	#N/A N/A	16.81	14.8232	3.18	1.287
41464	1652.32	#N/A N/A	#N/A N/A	16.84	15.0839	3.32	1.2781
41465	1652.62	#N/A N/A	#N/A N/A	16.72	15.0261	3.202	1.2978
41466	1675.02	#N/A N/A	#N/A N/A	16.98	15.2603	3.19	1.3097
41467	1680.19	#N/A N/A	#N/A N/A	17.11	15.2325	3.148	1.3067
41470	1682.5	#N/A N/A	#N/A N/A	17.12	15.2657	3.168	1.3062
41471	1676.26	#N/A N/A	#N/A N/A	16.6	15.3641	3.082	1.3162
41472	1680.91	#N/A N/A	#N/A N/A	16.78	15.3682	3.098	1.3125
41473	1689.37	#N/A N/A	#N/A N/A	16.93	15.4199	3.012	1.3109
41474	1692.09	#N/A N/A	#N/A N/A	16.76	15.1768	3.06	1.3143
41477	1695.53	#N/A N/A	#N/A N/A	17.04	15.2254	3.022	1.3186
41478	1692.39	#N/A N/A	#N/A N/A	16.94	14.9639	3.026	1.3223
41479	1685.94	#N/A N/A	#N/A N/A	17.37	15.7325	3.03	1.3201
41480	1690.25	#N/A N/A	#N/A N/A	16.96	15.6607	3.06	1.3277
41481	1691.65	#N/A N/A	#N/A N/A	17.02	15.7496	3.008	1.3279
41484	1685.33	#N/A N/A	#N/A N/A	17.08	15.9925	2.994	1.3262
41485	1685.96	#N/A N/A	#N/A N/A	17.08	16.19	3.02	1.3263
41486	1685.73	#N/A N/A	#N/A N/A	16.88	16.1618	2.95	1.3302
41487	1706.87	#N/A N/A	#N/A N/A	17.19	16.3099	3.004	1.3207
41488	1709.67	#N/A N/A	#N/A N/A	17.5	16.5193	2.99	1.3276
41491	1707.14	#N/A N/A	#N/A N/A	17.19	16.7661	3.052	1.3258
41492	1697.37	#N/A N/A	#N/A N/A	17.03	16.6161	3.094	1.3305
